name,type,breed,size,days_in_shelter,outcome_condition,is_sterilized,outcome
BARNEY,DOG,PARSON RUSS TER/MIX,3,0,1,1,0
*KELSEY,CAT,DOMESTIC SH,1,8,1,1,1
*MAX,CAT,DOMESTIC SH,1,53,0,1,0
*VIZZINI,DOG,CHIHUAHUA SH,1,35,1,1,0
ROCKY,DOG,BOXER/MIX,3,6,0,1,0
*PEARL,OTHER,CHICKEN,2,20,1,0,0
IZZY,DOG,GERM SHEPHERD,3,9,1,0,0
SNUFF,DOG,CATAHOULA/MIX,4,7,0,1,0
*BONNIE,CAT,DOMESTIC SH,1,27,1,1,1
*AARON,DOG,QUEENSLAND HEEL/MIX,3,87,0,1,1
KITTY,DOG,CHIHUAHUA LH,2,0,1,0,0
BELLE,CAT,DOMESTIC SH,2,1,1,1,1
KIKA,DOG,CHIHUAHUA LH/MIX,2,1,0,0,0
BAXTER,DOG,BICHON FRISE/MIX,2,0,1,1,0
*BUDDY,OTHER,PARAKEET,2,14,1,0,1
*JESSICA,CAT,DOMESTIC SH,1,4,1,1,1
MEEKA,DOG,PIT BULL,3,24,1,1,1
LUNA,DOG,SIBERIAN HUSKY,4,42,1,0,0
*DONNIE,DOG,BEAGLE/WELSH CORGI PEM,3,29,0,1,1
MOLLY,DOG,BEAGLE/MIX,3,2,1,1,0
*RAINBOW,DOG,PIT BULL/MIX,3,73,1,1,1
LILAC,CAT,SIAMESE,2,4,0,1,0
*NAOMI,CAT,DOMESTIC MH,2,63,1,1,1
TRIXIE,DOG,LABRADOR RETR,4,0,1,0,0
ALLEGRIA,OTHER,HORSE,5,189,0,0,0
HARLEY,CAT,DOMESTIC SH,2,1,1,1,0
MITSI,DOG,GERM SHEPHERD,4,4,0,1,0
DOLLY,DOG,CHINESE SHARPEI/PIT BULL,3,184,1,1,1
*WALLACE,OTHER,RABBIT SH,2,50,1,1,0
BOND (JAMES),CAT,DOMESTIC LH,2,13,1,1,1
*SPICE,CAT,DOMESTIC SH,1,77,1,1,1
*GINGER,DOG,FOX TERR SMOOTH,1,52,1,1,1
TRIP,DOG,LABRADOR RETR/AUST SHEPHERD,3,1,1,1,0
*CLARA,OTHER,PARAKEET,2,11,0,0,1
RIVER,DOG,PARSON RUSS TER/MIX,3,0,1,1,0
ABBY,DOG,LABRADOR RETR/GOLDEN RETR,1,1,1,0,0
DEXTER,DOG,PIT BULL,4,26,0,1,0
MOKU,DOG,PIT BULL,4,2,1,1,0
*NORI,CAT,SIAMESE/MIX,1,20,1,1,1
LUCY,CAT,DOMESTIC SH,2,7,1,1,0
BAGHERA,CAT,DOMESTIC MH,1,10,1,1,1
*BROCK,CAT,DOMESTIC SH,1,8,1,1,1
MADDIE 2,DOG,POODLE MIN/MIX,2,8,1,1,1
*BELLA,CAT,DOMESTIC SH,1,14,1,1,1
*OZZY,CAT,DOMESTIC SH,1,4,1,1,1
*SULTAN,CAT,DOMESTIC MH,2,55,1,1,1
HEIFER,DOG,LABRADOR RETR,4,0,1,1,0
*CASSIUS,CAT,DOMESTIC SH,1,6,1,1,1
KING,DOG,LABRADOR RETR/PIT BULL,3,21,1,1,1
BELLA,DOG,WELSH CORGI PEM,3,1,1,1,0
GINGER,DOG,ALASKAN HUSKY/GERM SHEPHERD,3,0,1,1,0
*HERC,CAT,DOMESTIC SH,2,24,1,1,1
LOLA,CAT,DOMESTIC LH,2,153,1,1,1
DEXTER,DOG,BASSET HOUND,3,1,1,1,0
PEYTON,OTHER,RABBIT SH,2,6,0,0,0
LEXIE POO,DOG,SHIH TZU,1,0,1,0,0
*GINNY,CAT,DOMESTIC SH,1,2,1,1,1
SNOOP,DOG,AUST CATTLE DOG,3,7,0,0,0
YUKON,DOG,SIBERIAN HUSKY,3,47,1,1,1
ARCHIE,DOG,CHIHUAHUA SH/MIX,2,1,1,1,0
LOUIE,DOG,POMERANIAN/SCHIPPERKE,1,0,1,1,0
RUBY,DOG,CHIHUAHUA SH/PARSON RUSS TER,1,0,1,1,0
*SMUDGE,CAT,PERSIAN,4,23,1,1,1
GUS,DOG,CHIHUAHUA SH,1,34,0,1,1
*ATREYU,DOG,AUST CATTLE DOG/MIX,3,6,1,0,0
GIANNI,DOG,LABRADOR RETR,4,17,1,0,0
CINNAMON,DOG,PIT BULL,3,2,1,0,0
BUBBA,DOG,CANE CORSO,4,25,1,1,1
*ANASTASIA,CAT,DOMESTIC SH,1,7,1,1,1
SCRUFF,DOG,PARSON RUSS TER,2,5,1,0,0
*SALLY,CAT,DOMESTIC SH,1,40,1,1,1
LULA,DOG,GERM SHEPHERD,3,2,1,1,0
*MIKEY,CAT,DOMESTIC SH,1,15,1,1,1
REMINGTON,DOG,GERM SHEPHERD,4,1,0,1,0
CAMMY,DOG,CHIHUAHUA SH/MIX,2,1,1,1,0
ZEUS,DOG,ALASKAN HUSKY,3,0,0,0,0
BELLA,DOG,BLACK MOUTH CUR/MIX,3,21,1,1,1
GORGEOUS,DOG,PIT BULL,3,8,1,1,0
ANGELINA,DOG,YORKSHIRE TERR,1,1,1,1,0
SOCKS,DOG,GERM SHEPHERD/MIX,4,0,1,1,0
*SNOWY,CAT,DOMESTIC MH,2,4,1,1,1
BEAU,DOG,AUST CATTLE DOG/MIX,3,3,1,1,0
BUDDY,DOG,BOSTON TERRIER,2,1,0,1,0
GEORGIA,DOG,GOLDEN RETR/LABRADOR RETR,3,0,0,1,0
SHELDON,DOG,CHIHUAHUA SH/MIX,1,13,1,1,1
*BARNEY,CAT,DOMESTIC SH,1,6,1,1,1
*JENNY,CAT,DOMESTIC SH,2,29,1,1,1
*PIPPA,DOG,CHIHUAHUA LH/MIX,2,17,1,1,1
TOBY,DOG,LABRADOR RETR,4,42,1,1,1
MAE,DOG,PARSON RUSS TER/MIX,3,2,1,1,0
DEXTER,CAT,DOMESTIC SH,2,13,1,1,1
*JOE,CAT,DOMESTIC SH,1,17,1,1,1
MOOIE,CAT,DOMESTIC SH,2,8,0,1,0
MOMMA,DOG,CHIHUAHUA SH,2,4,0,1,0
HALO,DOG,CHIHUAHUA SH,2,3,0,1,0
*MURRAY,CAT,DOMESTIC SH,2,12,1,1,0
RIDER,DOG,LABRADOR RETR/MIX,4,31,1,1,1
KODA,DOG,GERM SHEPHERD,4,1,0,0,0
FINN,DOG,LABRADOR RETR/MIX,3,8,1,1,1
*OAKIE,CAT,DOMESTIC SH,1,72,1,1,1
ODIN,CAT,DOMESTIC SH,2,3,1,1,0
LUCY,DOG,WELSH CORGI CAR/MIX,2,9,1,1,1
*IAN,DOG,CHINESE SHARPEI/MIX,3,18,1,1,1
*BEN,CAT,DOMESTIC SH,2,18,1,1,1
FRAN,DOG,BELG MALINOIS,3,9,0,1,0
TRITON,DOG,PIT BULL,4,19,0,1,0
RILEY,DOG,SHIH TZU/MIX,2,8,0,1,0
*PUDGE,DOG,PUG,2,12,1,1,1
OSCAR,CAT,DOMESTIC SH,2,14,1,1,1
MOLLY,DOG,CHIHUAHUA SH,3,1,0,0,0
LUCY,DOG,CHIHUAHUA SH,1,17,1,1,0
*CHINOOK,DOG,GERM SHEPHERD/MIX,3,27,1,1,1
*ARCHIE,DOG,REDBONE HOUND/PIT BULL,4,123,0,1,0
TOM,CAT,DOMESTIC SH,2,0,0,1,0
*CORAL,DOG,CHIHUAHUA SH,2,41,1,1,1
*LIZZY,CAT,DOMESTIC SH,1,18,1,1,1
HUMO,DOG,GERM SHEPHERD,4,1,0,0,0
*JUNIOR,DOG,RAT TERRIER/MIX,1,17,1,1,1
KIARA,DOG,GERM SHEPHERD,3,22,1,1,0
MAGGIE,DOG,LABRADOR RETR,4,0,1,1,0
KAIYA,DOG,GERM SHEPHERD/MIX,3,3,1,0,0
BO,DOG,LABRADOR RETR/MIX,3,0,1,1,0
DUKE,DOG,PIT BULL/MIX,3,30,0,0,0
*COMFORT,CAT,SIAMESE/MIX,1,49,1,1,1
NALA,DOG,GERM SHEPHERD,3,12,0,1,0
*AVA,CAT,DOMESTIC SH,1,16,1,1,1
CODY,DOG,BORDER COLLIE/CATAHOULA,4,32,1,1,1
ALLIE,CAT,DOMESTIC SH,2,7,1,1,0
*JASON,CAT,SIAMESE/MIX,2,27,1,1,0
TAMMY,DOG,MIN PINSCHER/MIX,2,1,1,1,0
*ASLAN,CAT,DOMESTIC LH,2,12,1,1,1
STELLA,DOG,GERM SHEPHERD,4,0,0,1,0
OSO,DOG,ROTTWEILER/MIX,3,0,0,0,0
DONNIE,CAT,DOMESTIC SH,1,10,1,1,1
JUNNY,DOG,FRENCH BULLDOG,2,1,1,1,0
MONNA,DOG,LABRADOR RETR/AKITA,4,29,1,1,1
*SAVO,DOG,CHIHUAHUA SH/MIX,1,11,1,0,0
FAWN,DOG,PIT BULL,3,1,0,0,0
ALICE,DOG,MASTIFF,5,4,0,0,0
*CINNA-BUN,OTHER,RABBIT SH,2,46,1,1,1
*NICK,CAT,DOMESTIC SH,1,18,1,1,1
*ROXY,CAT,DOMESTIC MH,1,23,1,1,1
*MIRANDA,DOG,PUG/MIX,3,16,0,1,0
ZUMA,DOG,PIT BULL,3,38,0,0,0
*TEDDY,DOG,CHIHUAHUA LH/YORKSHIRE TERR,2,19,0,1,0
*ARROW,DOG,PARSON RUSS TER,2,25,1,1,1
STORMI,CAT,DOMESTIC LH,2,38,0,0,0
WHITE SOX,CAT,DOMESTIC SH,1,38,1,1,1
CALI,CAT,DOMESTIC SH,2,0,0,1,0
LUCKY,DOG,POODLE MIN,1,1,0,0,0
CASPER,DOG,POMERANIAN,2,0,1,0,0
BLUE,DOG,PIT BULL,4,33,0,0,0
CHEYENNE,DOG,GERM SHEPHERD,3,3,1,0,0
LAYLA,DOG,CHIHUAHUA SH,1,3,0,0,0
*BUTTERS,DOG,SIBERIAN HUSKY,3,87,1,1,1
SPOOKY,DOG,SCHIPPERKE/MIX,2,44,1,1,1
ARTURINO,DOG,POMERANIAN,1,37,1,1,1
COCO,DOG,MALTESE,2,1,0,1,0
*SKYLAR,CAT,DOMESTIC SH,1,2,1,1,1
RANDY,CAT,DOMESTIC SH,2,51,0,1,0
MARGIE,DOG,BORDER COLLIE,3,11,1,1,1
*JESSICA,OTHER,LOP-MINI,2,18,1,1,1
*MONA,CAT,DOMESTIC SH,1,69,1,1,1
OBI,DOG,LABRADOR RETR,3,1,1,1,0
ZEUS,DOG,PIT BULL,3,2,1,0,0
*JULIUS,CAT,DOMESTIC SH,2,28,1,1,0
VERSACE,DOG,PIT BULL,3,113,0,0,0
MYRTLE MAE,CAT,DOMESTIC SH,2,9,1,1,0
ROSE,DOG,AMER BULLDOG,4,29,0,0,0
LILLY,CAT,DOMESTIC SH,2,28,0,1,1
*ROMEO,DOG,GERM SHEPHERD/MIX,3,30,1,1,0
CHICO,DOG,PIT BULL/MIX,4,1,0,0,0
*VINNIE,DOG,BORDER COLLIE/AUST KELPIE,4,15,1,1,0
RANDY,CAT,DOMESTIC SH,2,7,0,1,0
TIGGER LILLY,CAT,DOMESTIC SH,2,5,0,0,0
*AIDEN,CAT,DOMESTIC MH,1,7,0,1,1
ANNIE,CAT,DOMESTIC SH,2,11,1,1,1
MISHA,DOG,RHOD RIDGEBACK/LABRADOR RETR,3,13,1,1,1
*CHEERIOS,DOG,MASTIFF,3,35,0,1,0
*PEPPER,DOG,CHIHUAHUA SH/DACHSHUND,2,47,1,1,1
BEAU,DOG,PIT BULL,3,4,0,1,0
BAUER,DOG,BEAGLE/MIX,2,0,0,1,0
COCO,DOG,GERM SHEPHERD,4,6,1,0,0
GILROY,CAT,DOMESTIC MH,4,31,0,1,1
KNOX,CAT,DOMESTIC SH,2,8,1,1,0
BOWIE,DOG,CHIHUAHUA SH/MIX,1,3,0,1,0
*LIZ,OTHER,GUINEA PIG,2,22,0,0,0
INDICA,DOG,PIT BULL,4,4,1,1,0
DOUGLAS,CAT,DOMESTIC MH,1,28,1,1,1
MAJOR,DOG,BORDER COLLIE,3,6,0,0,0
*BRUISER,DOG,PIT BULL,1,8,1,1,1
*PAUL,CAT,DOMESTIC MH,1,38,0,1,0
*DANI,CAT,DOMESTIC SH,2,45,1,1,1
VENOM,DOG,GERM SHEPHERD/MIX,4,3,0,0,0
MISSY,DOG,SCHNAUZER MIN/MIX,1,18,1,1,1
RUDY,DOG,ENG BULLDOG/PIT BULL,2,1,1,0,0
*KIAYA,CAT,DOMESTIC SH,2,30,1,1,0
MAGIK,CAT,DOMESTIC SH,1,8,1,1,1
*PATRICK,DOG,PIT BULL/MIX,3,155,1,1,1
LILLY,DOG,PIT BULL/CATAHOULA,4,2,0,1,0
SADIE,DOG,PIT BULL/MIX,3,1,0,0,0
*FELIX,CAT,DOMESTIC SH,2,46,1,1,0
PUFFLE CAT,CAT,DOMESTIC MH,2,6,0,1,0
*THOMAS,CAT,DOMESTIC LH,2,49,1,1,1
PERRY,DOG,GERM SHEPHERD/DACHSHUND,1,0,1,0,0
MALACHAI,DOG,CHIHUAHUA SH,3,15,0,0,0
*CODY,CAT,DOMESTIC SH,1,60,1,1,1
*PHARAOH,DOG,AUST KELPIE/MIX,3,17,1,1,1
*ATTICUS,DOG,GERM SHEPHERD,1,21,0,0,0
*FUNNEL CAKE,DOG,BORDER COLLIE/MIX,1,9,1,0,0
TIGEY,CAT,DOMESTIC SH,2,23,0,1,0
*BONNIE,CAT,DOMESTIC SH,2,17,1,1,1
LUCY,DOG,GERM SHEPHERD,4,11,1,1,1
DEMON,DOG,PIT BULL,4,5,1,1,0
*BUTTERCUP,DOG,CHIHUAHUA LH,2,17,1,1,1
LOUIE,DOG,CHIHUAHUA SH/POODLE MIN,2,13,1,1,1
HARRY,CAT,DOMESTIC MH,1,31,1,1,1
BAMBI,OTHER,REX,2,8,1,0,0
*SCOTTY,CAT,SCOTTISH FOLD/MIX,1,9,1,1,1
*MANFRED,DOG,MASTIFF,5,13,1,0,0
HUERITO,DOG,CHIHUAHUA SH,1,50,1,1,1
ESTRELLA,DOG,GERM SHEPHERD,3,28,1,0,0
LILY,DOG,MALTESE/YORKSHIRE TERR,1,5,1,1,1
*JAKE,DOG,CHIHUAHUA SH/SHIBA INU,2,37,0,1,1
KEEGAN,DOG,AUST CATTLE DOG/QUEENSLAND HEEL,3,0,1,1,0
PIXIE,CAT,DOMESTIC SH,1,3,1,1,1
REMINGTON,DOG,PARSON RUSS TER,2,1,1,0,0
BOGEY,DOG,BORDER COLLIE,3,9,1,1,0
*TREK,DOG,DACHSHUND/MIX,2,18,1,1,1
SHADY,CAT,DOMESTIC MH,2,2,0,0,0
*ANNABELLE,DOG,CHIHUAHUA SH,1,12,1,1,0
OSO,DOG,SIBERIAN HUSKY/PIT BULL,4,42,1,1,0
MINNIE,DOG,ITAL GREYHOUND,3,1,1,0,0
QUATRO,DOG,PIT BULL,4,1,1,1,0
KARU,DOG,BELG MALINOIS,4,17,0,0,0
BENOS,DOG,AMER BULLDOG/PIT BULL,4,53,1,1,0
BUDDY,DOG,PIT BULL/LABRADOR RETR,4,0,1,1,0
ZAN,CAT,DOMESTIC SH,2,14,0,1,0
POPPY,DOG,CHIHUAHUA SH,2,43,1,1,1
KIARA,CAT,DOMESTIC SH,2,16,1,1,1
SYLVESTER,CAT,DOMESTIC SH,1,7,1,1,1
KITTY,CAT,DOMESTIC SH,2,33,0,1,0
*CHIP,DOG,CHIHUAHUA SH/MIX,2,18,0,0,0
SAMPSON,CAT,SNOWSHOE,2,8,1,1,0
TOBY,DOG,CHIHUAHUA SH/MIX,2,2,0,1,0
*RICKY,DOG,CHIHUAHUA SH,2,13,1,1,0
*MICHAEL,CAT,DOMESTIC SH,1,2,1,1,1
DELILAH,DOG,PIT BULL,3,36,0,1,0
SALLY,CAT,DOMESTIC SH,2,16,1,1,1
GRACIE,DOG,LABRADOR RETR,4,0,1,1,0
MIA,DOG,MALTESE/MIX,2,2,1,1,0
*BONNIE,DOG,GERM SHEPHERD,3,15,1,1,1
LOLA,DOG,GERM SHEPHERD,4,13,1,0,0
CHIP,CAT,DOMESTIC SH,1,15,1,1,1
*BART,DOG,QUEENSLAND HEEL/MIX,3,41,1,1,1
DESOTO,DOG,DOBERMAN PINSCH/GERM SHEPHERD,4,18,0,0,0
ASTRO,DOG,GERM SHEPHERD,4,0,0,1,0
CHIPPE,DOG,CHIHUAHUA SH/MIX,2,27,0,0,0
PENELOPE,DOG,PIT BULL,3,2,1,0,0
#29641,CAT,DOMESTIC SH,1,1,0,0,0
CHACORTA,DOG,AMER BULLDOG/MIX,4,0,1,1,0
*PORKCHOP,DOG,PIT BULL,3,61,1,1,1
THEO,DOG,PIT BULL/MIX,4,0,1,1,0
TULIP,DOG,BOXER/MIX,1,37,1,1,1
CHARLIE,CAT,DOMESTIC SH,2,43,1,1,1
TYSON,DOG,PIT BULL/MIX,3,26,0,1,0
*SAVANNAH,DOG,RHOD RIDGEBACK/MIX,4,54,0,1,0
CHRYSANTHEMUM,DOG,NORW ELKHOUND,4,8,1,1,0
*ROXY,DOG,SIBERIAN HUSKY/MIX,1,74,1,1,1
HERCULES,DOG,SIBERIAN HUSKY,4,1,0,0,0
DUKE PUPPY,DOG,CAIRN TERRIER/MIX,2,0,1,1,0
*OSCAR,CAT,DOMESTIC SH,1,43,1,1,1
*GRIFFIN,DOG,PBGV/MIX,4,4,1,1,1
BUDDY,DOG,PIT BULL/MIX,4,157,1,1,1
ORANGIE,CAT,DOMESTIC LH,1,38,1,1,1
AMELIA,DOG,CHINESE SHARPEI/LABRADOR RETR,3,1,0,1,0
GRACIE,DOG,CHIHUAHUA SH,2,15,1,1,1
KAT,DOG,AUST CATTLE DOG/MIX,3,2,1,1,1
SHYLOW,DOG,MIN PINSCHER,2,3,1,1,0
*RICKY,DOG,AMERICAN STAFF/MIX,2,51,1,1,1
*ALISA,CAT,DOMESTIC SH,1,9,1,1,1
POPPE,DOG,CHIHUAHUA SH,2,7,1,1,0
FACE,DOG,PIT BULL,3,0,1,1,0
MUMBLES,CAT,DOMESTIC LH,2,62,1,1,0
BEAMER,DOG,ENG POINTER,3,13,1,1,0
PEPITO,DOG,PIT BULL,3,4,0,1,0
*TIMMY,CAT,DOMESTIC SH,1,44,1,1,1
*FOGGY,CAT,DOMESTIC SH,1,29,1,1,1
SMOKEY,CAT,DOMESTIC MH,1,15,1,1,1
LEMMY,CAT,DOMESTIC SH,1,12,1,1,1
HONEY,DOG,MIN PINSCHER,2,13,1,1,1
*CHANDLER,CAT,DOMESTIC SH,1,60,1,1,1
SAMSON,DOG,GERM SH POINT/MIX,4,9,1,1,0
MALIA,DOG,AUST SHEPHERD/MIX,4,0,1,1,0
*FLUFFY,DOG,SIBERIAN HUSKY,3,58,1,1,1
PEANUT,CAT,SCOTTISH FOLD,2,77,0,1,1
BRUNO,DOG,PIT BULL,3,1,0,0,0
*ELLIE,DOG,PIT BULL/MIX,3,38,1,1,1
KODA,DOG,GERM SHEPHERD/SIBERIAN HUSKY,3,21,1,1,1
SHELBY,DOG,PIT BULL,3,4,0,1,0
IZZY,DOG,LABRADOR RETR,4,0,1,1,0
BO,DOG,LABRADOR RETR,3,0,1,1,0
HAROLD,DOG,LABRADOR RETR/SIBERIAN HUSKY,1,127,1,1,1
SCULLY,OTHER,GOAT,4,1,0,0,0
VELA,DOG,ROTTWEILER,4,0,0,0,0
NOVA,DOG,PIT BULL,3,1,1,0,0
*ARCHIE,DOG,SCHNAUZER MIN/MIX,2,17,1,1,1
FREDDY,DOG,PIT BULL,3,0,1,1,0
JET/JELLY,DOG,BORDER COLLIE/MIX,3,85,1,1,0
ASHBY,CAT,DOMESTIC SH,2,10,1,1,1
BETSEY,CAT,DOMESTIC SH,2,21,1,1,1
WENDY,DOG,RAT TERRIER,2,0,0,1,0
LILY,DOG,MALTESE,1,1,1,1,0
GARDENIA,CAT,DOMESTIC SH,2,1,1,0,0
ROCCO,DOG,PIT BULL,4,1,1,1,0
*GISELLE,CAT,DOMESTIC SH,1,9,1,1,1
BROWNIE,DOG,CAIRN TERRIER/POODLE MIN,2,2,0,0,0
*GUS,CAT,DOMESTIC SH,2,64,1,1,1
*ROCCO,DOG,PIT BULL,3,21,1,1,1
*AVALANCHE,DOG,PIT BULL,1,34,1,1,1
PRINCESS,DOG,PIT BULL,3,10,1,1,0
CALISTA,DOG,LABRADOR RETR,3,0,1,0,0
TRAVIS,DOG,MANCHESTER TERR/MIX,1,9,1,1,0
CODY,DOG,LABRADOR RETR,4,0,1,0,0
STELLA,CAT,DOMESTIC MH,2,12,0,1,0
SCIRACHI,DOG,PIT BULL,4,11,0,1,0
*SCRATCHY,OTHER,ENGLISH SPOT,2,227,1,1,0
DUDLEY,DOG,BORDER COLLIE,3,1,1,1,0
NEGRO,DOG,GERM SHEPHERD,4,4,1,0,0
DAPHNE,CAT,DOMESTIC SH,2,15,1,1,1
*MANDO,CAT,DOMESTIC SH,1,37,1,1,0
*XENA,CAT,DOMESTIC SH,2,44,1,1,1
*PAT,OTHER,CANARY,2,7,1,0,1
*MAC,CAT,DOMESTIC SH,2,11,1,1,1
*SALLY,DOG,PIT BULL,3,34,1,1,1
TILLIPPI,DOG,MEX HAIRLESS,1,10,0,0,0
COCO,DOG,MALTESE/POODLE TOY,2,26,1,1,1
LOUIS,DOG,FRENCH BULLDOG,3,1,0,0,0
*TEDDY,CAT,DOMESTIC SH,2,12,1,1,1
*POPCORN,CAT,DOMESTIC SH,1,28,1,1,1
*CREED,DOG,PIT BULL,4,26,1,1,0
LITTLE BEAN,DOG,LABRADOR RETR/MIX,3,17,1,1,1
MAX,DOG,PARSON RUSS TER/MIX,3,14,0,1,1
MONTY,CAT,DOMESTIC SH,3,0,1,0,0
JUNIOR,DOG,PIT BULL/MIX,3,127,1,1,1
KIARA,DOG,ALASKAN HUSKY/MIX,3,1,1,1,0
LOLA,DOG,ROTTWEILER,3,12,1,1,1
BEAR,DOG,SIBERIAN HUSKY,4,0,0,1,0
HAZLE,DOG,SIBERIAN HUSKY,4,0,1,1,0
19,OTHER,CHICKEN,2,0,0,0,0
COOKIE,DOG,CHIHUAHUA SH,1,19,1,1,0
JAKE,CAT,DOMESTIC SH,3,38,1,1,1
BELLA,DOG,GERM SHEPHERD,4,27,0,0,0
ROCKIE,DOG,LABRADOR RETR/MIX,3,1,0,1,0
MAX,DOG,COLLIE SMOOTH,4,1,1,0,0
MILO JUDD,DOG,GERM SH POINT/MIX,1,35,1,1,1
CHARLIE,DOG,CATAHOULA,4,11,1,0,0
*BERT,DOG,SIBERIAN HUSKY,4,39,1,1,1
DAD,OTHER,GUINEA PIG,2,10,1,1,1
*SYBILL,CAT,DOMESTIC SH,1,47,1,1,1
GEMINI,DOG,ROTTWEILER/AKITA,4,2,1,0,0
FANCY,DOG,LABRADOR RETR,4,12,1,1,1
SPARKY,DOG,POODLE MIN/CHIHUAHUA SH,2,25,0,1,0
LILY,CAT,DOMESTIC SH,2,1,0,0,0
*CLAIRE,CAT,DOMESTIC SH,1,28,1,1,1
LUCA,DOG,ALASKAN HUSKY/MIX,4,0,1,0,0
OSA,DOG,GERM SHEPHERD,4,35,0,0,0
MOOSE,DOG,PIT BULL,4,26,0,1,0
DUNCAN,DOG,QUEENSLAND HEEL/MIX,4,2,0,0,0
*OLIVIA,CAT,DOMESTIC SH,2,48,1,1,1
*TRE,CAT,DOMESTIC SH,2,75,1,1,1
*CINDY,CAT,DOMESTIC SH,1,35,1,1,1
PISTACHIO,CAT,SIAMESE/MIX,1,47,1,1,1
BRUNO,DOG,GERM SHEPHERD/SIBERIAN HUSKY,1,17,1,1,1
SOPHIE,DOG,PIT BULL,3,2,1,1,0
ROADS,DOG,SIBERIAN HUSKY,4,0,1,0,0
WALDO,DOG,LABRADOR RETR/MIX,4,4,1,0,0
*RAINBOW,DOG,PIT BULL/MIX,3,15,1,1,1
CHIQUITO,DOG,CAIRN TERRIER/MIX,2,0,1,1,0
OTIS,DOG,AMER FOXHOUND/GREAT PYRENEES,4,0,1,1,0
JASPER,DOG,BORDER COLLIE/MIX,1,1,1,1,1
*HECTOR,DOG,CHIHUAHUA SH/MIX,2,26,1,1,1
*HELEN,CAT,DOMESTIC SH,1,13,1,1,1
ROMEO,CAT,DOMESTIC SH,2,1,0,0,0
LILABELLE,DOG,COTON DE TULEAR,2,1,0,1,0
OLLIE,DOG,LABRADOR RETR,3,1,1,0,0
LEELEE,DOG,PIT BULL,3,2,0,1,0
MEKIA,DOG,LABRADOR RETR/MIX,4,1,1,1,0
TANNER,DOG,LABRADOR RETR,5,3,1,1,0
SEDONA,OTHER,HORSE,5,0,1,0,0
FLUFFY,CAT,DOMESTIC MH,2,7,0,1,0
*MASON,CAT,DOMESTIC SH,2,10,1,1,1
SAVAGE,CAT,DOMESTIC SH,2,0,0,0,0
*KINX,CAT,DOMESTIC SH,1,21,1,1,1
BUDDY,DOG,SIBERIAN HUSKY,4,6,1,1,0
STEVIE,DOG,PIT BULL,3,2,0,1,0
*VINCENT,DOG,CHIHUAHUA SH/MIX,1,8,1,1,1
BELLA,DOG,CHIHUAHUA SH,2,43,1,1,1
BENJAMIN,DOG,WELSH CORGI PEM/CAVALIER SPAN,2,1,1,1,0
CALLIE,DOG,CAIRN TERRIER/MIX,2,4,0,0,0
*MILLIE,DOG,PIT BULL,4,31,1,1,1
PACO,DOG,SHIH TZU,2,3,1,0,0
LEVI,DOG,GERM SHEPHERD,3,21,0,0,0
*GINGER,DOG,CHIHUAHUA SH,2,56,1,1,1
BABY LUCCA,DOG,MASTIFF,5,7,0,0,0
*GRACE,CAT,DOMESTIC SH,2,17,1,1,1
*GROGU,CAT,DOMESTIC SH,2,29,1,1,1
*ALFREDO,DOG,BOXER/PIT BULL,3,63,1,1,1
*DANTE,DOG,GERM SHEPHERD/MIX,3,61,1,1,0
*HICKORY,CAT,DOMESTIC SH,1,21,1,1,1
PELUSA,DOG,GERM SHEPHERD/MIX,4,1,1,1,0
BUGSY,OTHER,RABBIT SH,2,0,0,0,0
JAKE,DOG,LABRADOR RETR,3,0,0,0,0
*MAMAS,DOG,CHIHUAHUA SH,2,18,1,1,1
SHILOH,DOG,SIBERIAN HUSKY,3,0,0,0,0
LUCY,DOG,LABRADOR RETR/MIX,1,0,1,1,0
ACE,DOG,CATAHOULA,3,1,0,0,0
ROSEY,DOG,BOXER/MIX,4,43,1,1,0
MISSY,DOG,POMERANIAN/CHIHUAHUA LH,1,0,1,1,0
ROSIE,DOG,PIT BULL,4,45,0,1,0
SADIE MARIE,DOG,PIT BULL,3,42,0,0,0
GUERA,DOG,PIT BULL,4,3,1,1,0
COOTER,DOG,SIBERIAN HUSKY/GERM SHEPHERD,4,0,1,1,0
*BIANCA,DOG,GREAT PYRENEES,3,45,1,1,1
*SARAH,DOG,CHIHUAHUA SH/MIX,2,8,1,0,0
LADY,DOG,BORDER COLLIE/LABRADOR RETR,3,6,1,1,1
DANTE,CAT,DOMESTIC LH,2,2,0,1,0
*MILO,CAT,DOMESTIC SH,1,46,1,1,1
*COCO,CAT,DOMESTIC SH,1,12,1,1,1
MICKEY,DOG,CHIHUAHUA SH/MIX,2,45,0,0,0
*MABLE,CAT,DOMESTIC SH,1,23,1,1,0
*HOMER,CAT,DOMESTIC SH,1,33,1,1,0
FU MANCHU,CAT,DOMESTIC SH,1,75,1,1,1
PIG,DOG,PIT BULL/MIX,3,21,0,0,0
NICKY,DOG,YORKSHIRE TERR,1,0,1,0,0
TANGO,DOG,COLLIE ROUGH/MIX,4,18,1,1,1
GRENAS,DOG,SHIH TZU,1,0,1,0,0
*KELLY,CAT,DOMESTIC SH,2,15,1,1,1
LITTLE,DOG,CHIHUAHUA SH,2,13,0,0,0
*BEN,CAT,DOMESTIC SH,1,6,1,1,1
HARMONY,DOG,GERM SHEPHERD/MIX,4,21,0,1,0
