name,type,breed,size,days_in_shelter,outcome_condition,is_sterilized,outcome
CHULUPA,DOG,CHIHUAHUA SH,1,10,0,1,0
SAMMIE,DOG,LABRADOR RETR,4,1,1,0,0
*JULIUS,CAT,SIAMESE,2,38,1,1,1
BAILEY,DOG,CHIHUAHUA SH/PUG,3,0,0,1,0
GRU,DOG,FRENCH BULLDOG,2,1,1,0,0
*NIFTY,CAT,DOMESTIC SH,1,32,1,1,1
*ELLA,CAT,DOMESTIC SH,1,42,1,1,1
*STACY,CAT,DOMESTIC SH,2,17,1,1,1
RAYA,DOG,LABRADOR RETR/MIX,2,32,1,1,1
*BUSTER,DOG,BEAGLE/MIX,3,49,1,1,1
*BANNER,CAT,DOMESTIC SH,1,32,1,1,1
*ZIMM,CAT,DOMESTIC MH,1,20,1,1,1
*RUBY,CAT,DOMESTIC SH,1,24,0,1,0
PRINCESS,DOG,CHIHUAHUA SH,1,0,0,0,0
LOLA,DOG,GERM SHEPHERD,3,32,0,1,0
DOLLY,DOG,LABRADOR RETR,4,1,1,0,0
MIA,DOG,GERM SHEPHERD/MIX,1,36,1,1,1
*RUBY,CAT,DOMESTIC SH,1,53,1,1,1
GILLEY,DOG,LABRADOR RETR,4,1,1,0,0
LYNCH,DOG,LABRADOR RETR,4,1,1,0,0
*MAISIE,CAT,DOMESTIC MH,2,28,1,1,1
*ROMAN,DOG,GERM SHEPHERD/MIX,1,37,0,1,1
*NAPOLEON,DOG,CHIHUAHUA SH,2,52,1,1,1
*CAESAR,CAT,DOMESTIC LH,2,18,1,1,1
*GRETL,CAT,DOMESTIC SH,1,21,1,1,1
*CINDY,CAT,DOMESTIC SH,1,50,1,0,0
COCO,DOG,GERM SHEPHERD/MIX,1,103,1,1,1
*ORLANDO,CAT,MANX/MIX,1,77,1,1,1
*GRAHAM,CAT,DOMESTIC SH,1,50,1,1,1
PHOEBE,CAT,DOMESTIC SH,1,11,1,1,1
BUSTER,DOG,POODLE STND,4,15,1,1,0
LUKE,DOG,LABRADOR RETR,4,0,0,0,0
DOZER,DOG,ALASKAN HUSKY/GERM SHEPHERD,3,3,0,0,0
GUNTHER,DOG,LABRADOR RETR/MIX,4,7,0,0,0
SKYE,DOG,SIBERIAN HUSKY,3,16,0,0,0
*SABLE,CAT,DOMESTIC SH,2,12,1,0,0
LANIE,CAT,DOMESTIC SH,1,11,1,1,1
*MARCIA,CAT,DOMESTIC MH,1,50,1,0,0
*CLEO,CAT,DOMESTIC SH,1,36,1,0,0
*COMET,DOG,GERM SHEPHERD/MIX,1,38,1,1,1
*ZING,CAT,DOMESTIC SH,2,30,1,0,0
COCO,DOG,GERM SHEPHERD/MIX,1,9,1,1,1
BUSTER,DOG,POODLE STND,4,1,1,1,0
ABBY,DOG,PIT BULL,3,8,0,0,0
SLURPY,DOG,SIBERIAN HUSKY/MIX,3,23,0,0,0
*LUCINDA,CAT,DOMESTIC LH,1,44,1,1,1
MR BOJANGLES,CAT,DOMESTIC SH,1,60,1,1,1
SALEM,CAT,DOMESTIC MH,1,50,1,1,1
*RAMIREZ,CAT,DOMESTIC SH,1,72,1,1,1
CARLY ROSE,CAT,DOMESTIC SH,1,60,1,1,1
*LOUISA,CAT,DOMESTIC SH,1,21,1,1,0
DOZER,DOG,ALASKAN HUSKY/GERM SHEPHERD,3,2,0,0,0
*MELODY,DOG,CHIHUAHUA SH,2,69,1,0,0
SAMMY,CAT,DOMESTIC LH,2,38,1,1,0
CHOPPER,DOG,AUST CATTLE DOG,3,1,0,0,0
HONEY,DOG,PIT BULL/MIX,3,23,0,0,0
*WINSTON,DOG,PUG/MIX,2,39,1,1,0
SADIE,DOG,LABRADOR RETR/MIX,3,0,0,1,0
NEGRO AKA NEGRITO,DOG,DOBERMAN PINSCH,4,1,1,0,0
NEGRO AKA NEGRITO,DOG,DOBERMAN PINSCH,4,3,1,0,0
NEGRO,DOG,DOBERMAN PINSCH,4,5,1,0,0
*ROCKY ROAD,CAT,DOMESTIC SH,1,13,1,1,1
KALA,DOG,PIT BULL,3,1,0,1,0
PEPE,DOG,SCHNAUZER MIN,3,2,0,1,0
ARIA,CAT,DOMESTIC SH,2,0,0,1,0
*CALISTA,CAT,DOMESTIC SH,1,36,1,0,0
*ROMEO,CAT,DOMESTIC SH,2,85,1,1,0
*TELLY-JO,DOG,AUST CATTLE DOG,3,69,1,1,0
*SNUGGLE BEAR,DOG,GERM SHEPHERD/MIX,1,39,1,1,1
*DOLLY,DOG,GERM SHEPHERD,1,30,1,1,1
BOGIE,DOG,AKITA,4,0,0,1,0
*LIESL,CAT,DOMESTIC SH,1,21,1,1,0
CASH,DOG,AUST CATTLE DOG,3,1,0,0,0
NADDIE,DOG,BELG MALINOIS/MIX,3,23,0,1,0
SLICK,DOG,PIT BULL/LABRADOR RETR,3,12,0,0,0
KALEO,DOG,BULLMASTIFF/PIT BULL,3,2,0,0,0
KALEO,DOG,BULLMASTIFF/PIT BULL,3,10,0,0,0
KALEO,DOG,BULLMASTIFF/PIT BULL,3,12,0,0,0
KALEO,DOG,BULLMASTIFF/PIT BULL,3,4,0,0,0
FEISTY,DOG,LABRADOR RETR/MIX,3,22,1,0,0
CAT,DOG,CATAHOULA/MIX,4,2,0,1,0
LUNA,DOG,CHIHUAHUA LH/MIX,2,0,0,0,0
CHICO,DOG,GERM SHEPHERD/PIT BULL,3,37,1,0,0
SLICK,DOG,PIT BULL/LABRADOR RETR,3,2,0,0,0
SLICK,DOG,PIT BULL/LABRADOR RETR,3,4,0,0,0
JAX,DOG,LABRADOR RETR/MIX,1,37,1,1,1
VINNY,DOG,CHIHUAHUA SH/MIX,2,0,0,1,0
*FELIX,DOG,CHIHUAHUA SH,1,68,1,0,0
*MENZI,CAT,DOMESTIC SH,1,21,1,1,1
DOZER,DOG,ALASKAN HUSKY/GERM SHEPHERD,3,1,0,0,0
WINKLE,CAT,DOMESTIC LH,2,37,0,1,1
DOZER,DOG,ALASKAN HUSKY/GERM SHEPHERD,3,5,0,0,0
LUA,DOG,BEAGLE/MIX,2,2,0,1,0
FLUFFY,DOG,BICHON FRISE,2,1,0,1,0
ROCKY,DOG,WEST HIGHLAND/MIX,2,3,0,1,0
BUCK,DOG,DACHSHUND LH/MIX,2,36,1,1,1
*LORENZO,OTHER,GOAT,4,105,1,0,1
DUKE,DOG,POODLE MIN/MIX,2,1,0,1,0
DUKE,DOG,POODLE MIN/MIX,2,60,1,1,1
*RONALD,DOG,GERM SHEPHERD/PIT BULL,1,61,1,1,1
TROUBLE,DOG,PIT BULL,4,1,1,0,0
CHARLIE,DOG,PIT BULL,3,2,1,0,0
TROUBLE,DOG,PIT BULL,4,2,1,0,0
HUNTER,DOG,LABRADOR RETR/ROTTWEILER,3,68,1,1,1
KALI,DOG,PIT BULL,3,2,1,0,0
CHARLIE,DOG,PIT BULL,3,2,1,0,0
TROUBLE,DOG,PIT BULL,4,2,1,0,0
KALI,DOG,PIT BULL,3,2,1,0,0
SNOW,DOG,ALASKAN HUSKY,4,266,1,1,1
MARKUS,DOG,PARSON RUSS TER,2,77,0,1,1
*PESTO,DOG,GERM SHEPHERD,1,79,1,1,1
*KNIGHT,DOG,LABRADOR RETR,4,52,1,1,1
JACKSON,DOG,LABRADOR RETR,4,0,1,1,0
